lat,lon
39.86762,-77.23488
39.8445,-77.19099
39.81788,-77.23567
39.81468,-77.2318
39.80327,-77.02074
39.80485,-77.01737
39.76532,-77.26975
39.83261,-77.23099
39.84248,-77.20116
39.79272,-77.20165
39.83822,-77.20665
39.84137,-77.20653
39.83939,-77.22364
39.81155,-77.22838
39.82987,-77.22896
39.82701,-77.2311
39.81462,-77.23188
39.81646,-77.23261
39.82591,-77.23331
39.82024,-77.23389
39.83682,-77.23557
39.83053,-77.24424
39.76635,-77.2708
39.84601,-77.27203
39.78124,-77.25936
39.82569,-77.25539
39.84548,-77.18547
39.8364,-77.23874
39.82966,-77.23103
39.83055,-77.24638
39.83007,-77.23115
39.80869,-77.00036
39.83686,-77.23084
39.81147,-77.00501
39.80672,-77.01339
39.82702,-77.23103
39.84544,-77.18324
39.82849,-77.23486
39.83289,-77.22324
39.83109,-77.22902
39.83206,-77.239
39.83685,-77.21205
39.80475,-77.01718
39.83286,-77.22893
39.80778,-77.00899
39.8104,-77.22517
39.83257,-77.23352
39.81798,-77.23543
39.84373,-77.20442
39.83164,-77.24455
39.84705,-77.2742
39.80761,-77.00887
39.82983,-77.23135
39.84222,-77.19175
39.82481,-77.23107
39.84088,-77.26001
39.80059,-77.03119
39.79605,-77.20002
39.83069,-77.23101
39.82981,-77.23488
39.80653,-77.01326
39.86042,-77.23324
39.8308,-77.2351
39.80317,-77.02046
39.82383,-77.23417
39.8112,-77.22898
