idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
105,-76.50368,41.57295,0.4016,0.0,0.78159,0.3577,0.76354,0.32672,0.34299,0.49343,0.72721,0.70738,0.53711,0.40071,0.61041,0.60292
386,-76.4451,41.60056,0.68041,0.0,0.83107,0.23691,0.55627,0.62826,0.05616,0.31736,0.40406,0.45086,0.48808,0.98039,0.58395,0.58791
771,-76.85609,41.65177,0.28661,0.98752,0.87965,0.91999,0.95743,0.95743,0.22799,0.7466,0.68442,0.84912,0.2632,0.99844,0.69909,0.68497
845,-76.83667,41.65864,0.28661,0.98306,0.76354,0.91999,0.95743,0.95743,0.22799,0.7466,0.68442,0.84912,1.0,0.0,0.82786,0.84109
920,-76.83644,41.66584,0.28661,0.94183,0.69601,0.91999,0.95743,0.95743,0.22799,0.7466,0.68442,0.84912,1.0,0.0,0.81632,0.82894
1014,-76.71142,41.67076,0.4016,0.97214,0.74214,0.3577,0.76354,0.32672,0.34299,0.49343,0.72721,0.70738,0.50813,0.60263,0.61853,0.6109
1141,-76.26965,41.66883,0.02385,0.99621,0.84801,0.13818,0.4669,0.0,0.46378,0.0,0.0,0.25808,0.35971,0.99799,0.50432,0.50399
1408,-76.83507,41.70907,0.28661,0.0,0.72164,0.91999,0.95743,0.95743,0.22799,0.7466,0.68442,0.84912,1.0,0.0,0.74889,0.74738
1409,-76.82547,41.7089,0.28661,0.0,0.70938,0.91999,0.95743,0.95743,0.22799,0.7466,0.68442,0.84912,1.0,0.8928,0.792,0.78411
1438,-76.54696,41.70359,0.4016,0.95922,0.78137,0.3577,0.76354,0.32672,0.34299,0.49343,0.72721,0.70738,0.65835,0.39291,0.67901,0.68234
1442,-76.50855,41.70281,0.68041,0.92356,0.92267,0.23691,0.55627,0.62826,0.05616,0.31736,0.40406,0.45086,1.0,0.0,0.67964,0.70446
1497,-76.76761,41.71506,0.4016,0.0,0.75485,0.3577,0.76354,0.32672,0.34299,0.49343,0.72721,0.70738,0.57789,0.59461,0.59443,0.58007
1524,-76.50829,41.71001,0.68041,0.84957,0.50813,0.23691,0.55627,0.62826,0.05616,0.31736,0.40406,0.45086,1.0,0.0,0.62228,0.64598
1579,-76.76737,41.72226,0.4016,0.0,0.80276,0.3577,0.76354,0.32672,0.34299,0.49343,0.72721,0.70738,0.57789,0.51192,0.59629,0.58251
1813,-76.86276,41.7456,0.5224,0.87029,0.41676,0.69133,0.88433,0.7622,0.15489,0.15935,0.50279,0.89191,0.83954,0.8177,0.71068,0.71014
1894,-76.86253,41.75281,0.5224,0.87029,0.41676,0.69133,0.88433,0.7622,0.15489,0.15935,0.50279,0.89191,0.83954,0.8177,0.71068,0.71014
1944,-76.38206,41.7434,0.81435,0.87029,0.66904,0.8772,0.655,0.44752,0.89169,0.63807,0.57589,0.07221,0.2115,0.97838,0.61519,0.60999
2019,-76.43944,41.75184,0.81435,0.0,0.55293,0.8772,0.655,0.44752,0.89169,0.63807,0.57589,0.07221,0.77112,0.81502,0.61386,0.6001
2076,-76.67945,41.76387,0.4016,0.0,0.44573,0.3577,0.76354,0.32672,0.34299,0.49343,0.72721,0.70738,1.0,0.0,0.60626,0.60162
2077,-76.66984,41.76368,0.4016,0.84957,0.53555,0.3577,0.76354,0.32672,0.34299,0.49343,0.72721,0.70738,1.0,0.0,0.6812,0.68931
2100,-76.44878,41.75924,0.0,0.0,0.84177,1.0,0.53243,0.93359,0.60218,0.61422,0.90417,0.3236,0.77803,0.97259,0.74862,0.75042
2182,-76.44851,41.76645,0.0,0.87029,0.98329,1.0,0.53243,0.93359,0.60218,0.61422,0.90417,0.3236,0.13639,0.58123,0.67135,0.67691
2210,-76.17941,41.7605,0.1832,0.84957,0.63784,0.53332,0.14509,0.06552,0.78828,0.8246,0.1384,0.34745,0.67863,0.78493,0.61745,0.63961
2211,-76.1698,41.76027,0.1832,0.92824,0.6657,0.53332,0.14509,0.06552,0.78828,0.8246,0.1384,0.34745,0.67863,0.63517,0.61934,0.64375
