,osm_id,code,fclass,name,point_x,point_y,lon,lat
0,357345248,2005,post_office,Wismer Post Office,-75.1023938000,40.4084379000,-75.10239,40.40844
1,357367595,2005,post_office,Point Pleasent Post Office,-75.0659975000,40.4225932000,-75.066,40.42259
2,357369789,2005,post_office,Jamison Post Office,-75.0882278000,40.2572884000,-75.08823,40.25729
3,357369812,2005,post_office,Pineville Post Office,-75.0056247000,40.2950295000,-75.00562,40.29503
4,357369889,2005,post_office,Mechanicsville Post Office,-75.0754483000,40.3442726000,-75.07545,40.34427
5,357369899,2005,post_office,Lahaska Post Office,-75.0349211000,40.3473532000,-75.03492,40.34735
6,357369917,2005,post_office,Plumsteadville Post Office,-75.1468027000,40.3820216000,-75.1468,40.38202
7,357369957,2005,post_office,Ottsville Post Office,-75.1654311000,40.4768764000,-75.16543,40.47688
8,357374345,2005,post_office,Warminster Post Office,-75.0811646000,40.2145648000,-75.08116,40.21456
9,367961425,2002,fire_station,Midway Volunteer Fire Company- Station 5,-75.0340879000,40.3463559000,-75.03409,40.34636
10,367961739,2002,fire_station,Dublin Fire Company Number 23,-75.2106034000,40.3757174000,-75.2106,40.37572
11,367961859,2002,fire_station,Bensalem Rescue Squad 186,-74.9626000000,40.1207000000,-74.9626,40.1207
12,367961861,2002,fire_station,Bensalem Rescue Squad 185,-74.9384488000,40.1087379000,-74.93845,40.10874
13,367962192,2002,fire_station,Feasterville Company 1 Fire Station,-75.0032000000,40.1510000000,-75.0032,40.151
14,367962261,2002,fire_station,Line Lexington Company 60 Fire Station,-75.2636017000,40.2873664000,-75.2636,40.28737
15,367962285,2002,fire_station,Lower Southampton Township Company 6 Fire Station,-74.9803176000,40.1540349000,-74.98032,40.15403
16,367962288,2002,fire_station,Lower Southampton Rescue Squad 114,-74.9968000000,40.1562000000,-74.9968,40.1562
17,367962320,2002,fire_station,Newtown Company 55 Fire Station,-74.9609878000,40.2549859000,-74.96099,40.25499
18,367962395,2002,fire_station,New Hope-Eagle Company 46 Fire Station,-74.9677000000,40.3645000000,-74.9677,40.3645
19,367962462,2002,fire_station,Nottingham Company 65 Fire Station,-74.9626000000,40.1205000000,-74.9626,40.1205
20,367962560,2002,fire_station,Chalfont Company 74 Fire Station,-75.2201101000,40.2677670000,-75.22011,40.26777
21,367962734,2002,fire_station,Eddington Company 28 Fire Station,-74.9434000000,40.0885000000,-74.9434,40.0885
22,367962845,2002,fire_station,Trevose Company 4 Fire Station,-74.9863567000,40.1378538000,-74.98636,40.13785
23,367962884,2002,fire_station,Silverdale Company 59 Fire Station,-75.2722938000,40.3471944000,-75.27229,40.34719
24,367962888,2002,fire_station,Sellersville Company 87 Fire Station,-75.3487000000,40.3695000000,-75.3487,40.3695
25,367962890,2002,fire_station,Sellersville Company 27 Fire Station,-75.3089000000,40.3579000000,-75.3089,40.3579
26,367962893,2002,fire_station,Southampton Rescue Squad 113,-75.0377706000,40.1713331000,-75.03777,40.17133
27,367962940,2002,fire_station,Midway Company 15 Fire Station,-75.0925000000,40.3238000000,-75.0925,40.3238
28,367963342,2002,fire_station,Warminster Company 92 Fire Station,-75.1160747000,40.2085781000,-75.11607,40.20858
29,367963356,2002,fire_station,Warrington Company 78 Fire Station,-75.1919000000,40.2706000000,-75.1919,40.2706
30,367963369,2002,fire_station,Warminster Rescue Squad 122,-75.0987000000,40.2054000000,-75.0987,40.2054
31,367963495,2007,library,Pipersville Library,-75.1393392000,40.4267707000,-75.13934,40.42677
32,367963868,2007,library,Indian Valley Library,-75.3325747000,40.3297086000,-75.33257,40.32971
33,367965103,2001,police,Sellersville Borough Police Station,-75.3114000000,40.3593000000,-75.3114,40.3593
34,367965124,2001,police,Ivyland Borough Police Station,-75.0756911000,40.2059741000,-75.07569,40.20597
35,367965194,2001,police,Upper Makefield Police Station,-74.9396000000,40.2881000000,-74.9396,40.2881
36,367965507,2001,police,Wrightstown Township Police Station,-74.9947000000,40.2651000000,-74.9947,40.2651
37,367965560,2001,police,Warminster Township Police Station,-75.1077000000,40.2059000000,-75.1077,40.2059
38,367965874,2001,police,Plummstead Township Police Department,-75.1419050000,40.3912228000,-75.1419,40.39122
39,367965881,2001,police,Warwick Township Police Department,-75.0965619000,40.2485099000,-75.09656,40.24851
40,367965923,2001,police,Bedminster Township Police Department,-75.1443393000,40.4214930000,-75.14434,40.42149
41,367966062,2008,town_hall,Haycock Township Municipal Building,-75.2493877000,40.4793508000,-75.24939,40.47935
42,367967466,2008,town_hall,West Rockhill Township Hall,-75.3374383000,40.3618650000,-75.33744,40.36186
43,367967469,2008,town_hall,Warminster Township Hall,-75.1080533000,40.2052055000,-75.10805,40.20521
44,367967471,2008,town_hall,Upper Southampton Township Hall,-75.0374000000,40.1708000000,-75.0374,40.1708
45,552403436,2002,fire_station,Falls Twp. Fire Co.,-74.8178530000,40.1922299000,-74.81785,40.19223
46,612556611,2005,post_office,Bedminster,-75.1791099000,40.4268656000,-75.17911,40.42687
