Unnamed: 0,name,address,lat,lon
1,,403 BLUE MOUNTAIN RD  LEHIGHTON PA 18235,40.77955,-75.71074
2,,270 LITTLE GAP RD  PALMERTON PA 18071,40.81263,-75.58775
3,,225 GUN CLUB RD  PALMERTON PA 18071,40.84421,-75.60032
4,,1507 STATE RT 534  ALBRIGHTSVILLE PA 18210,40.99323,-75.53943
5,,44 TOWAMENSING TRL  ALBRIGHTSVILLE PA 18210,41.01144,-75.59394
6,,EAST OAK ST  TRESCKOW PA 18254,40.91441,-75.96304
7,,100 E BROAD ST  BEAVER MEADOWS PA 18216,40.92794,-75.91062
8,,259 LIME ST  BOWMANSTOWN PA 18030,40.79962,-75.65963
9,,3 KEYSTONE CMNS  WHITE HAVEN PA 18661,41.06846,-75.7275
10,,2440 FAIRYLAND RD  LEHIGHTON PA 18235,40.85466,-75.66094
11,,101 E 10TH ST  JIM THORPE PA 18229,40.87874,-75.72615
12,,E 10TH ST  JIM THORPE PA 18229,40.87847,-75.72613
13,,9TH & SCHOOL ST  JIM THORPE PA 18229,40.87825,-75.72853
14,,330 CENTER AVE  JIM THORPE PA 18229,40.86735,-75.74339
15,,3 KEYSTONE COMMONS  WHITE HAVEN PA 18661,41.06846,-75.7275
16,,LAKE HARMONY RD  LAKE HARMONY PA 18624,41.06064,-75.59102
17,,26 E PATTERSON ST  LANSFORD PA 18232,40.8317,-75.88293
18,,26 E PATTERSON ST (R)  LANSFORD PA 18232,40.8317,-75.88293
19,,1741 S LEHIGH GORGE DR  WEATHERLY PA 18255,40.96373,-75.78152
20,,243 S 8TH ST  LEHIGHTON PA 18235,40.82981,-75.71927
21,,314 VETERANS AVE  LEHIGHTON PA 18235,40.8337,-75.7138
22,,"475 ORIOLES DR E,  LEHIGHTON PA 18235",40.83639,-75.73434
23,,"2358 MAHONING DR W,  LEHIGHTON PA 18235",40.79672,-75.81267
24,,475 ORIOLES DR  LEHIGHTON PA 18235,40.83639,-75.73434
25,,335 W RAILROAD ST  NESQUEHONING PA 18240,40.8618,-75.81707
26,,HUDSON DR  WEATHERLY PA 18255,40.91711,-75.85606
27,,501 DELAWARE AVE  PALMERTON PA 18071,40.80407,-75.60458
28,,508 5TH ST  PALMERTON PA 18071,40.80305,-75.6038
29,,STATE ROUTE 903  JIM THORPE PA 18229,40.87571,-75.73204
30,,STATE ROUTE 903 & HAWTHORNE DR  JIM THORPE PA 18229,40.93624,-75.65689
31,,40 W AMIDON ST  SUMMIT HILL PA 18250,40.8235,-75.87187
32,,2 E LEHIGH ST  SUMMIT HILL PA 18254,40.82874,-75.87179
33,,151 E WHITE BEAR DR  SUMMIT HILL PA 18250,40.82836,-75.84194
34,,120 STABLE RD  LEHIGHTON PA 18235,40.8711,-75.56401
35,,560 THIRD ST  WEATHERLY PA 18255,40.94094,-75.82134
