name,address,lat,lon
,100 N 19TH ST  CAMP HILL PA 17011,40.24169,-76.91695
,2145 WALNUT ST  CAMP HILL PA 17011,40.2411,-76.92177
,3042 CUMBERLAND BLVD  CAMP HILL PA 17011,40.24576,-76.935
,420 S 24TH ST  CAMP HILL PA 17011,40.23503,-76.92532
,1 N HANOVER ST  CARLISLE PA 17013,40.20214,-77.18862
,237 E NORTH ST  CARLISLE PA 17013,40.20435,-77.18293
,35 E SOUTH ST  CARLISLE PA 17013,40.19843,-77.18785
,158 W HIGH ST  CARLISLE PA 17013,40.20159,-77.19336
,701 WALNUT BOTTOM RD  CARLISLE PA 17013,40.19092,-77.20342
,777 W NORTH ST  CARLISLE PA 17013,40.20649,-77.20733
,1700 CENTERVILLE RD  NEWVILLE PA 17241,40.06422,-77.30341
,219 MOUNTAIN VIEW RD  MT. HOLLY SPRINGS PA 17065,40.11465,-77.21162
,4200 CARLISLE RD  GARDNERS PA 17324,40.04437,-77.20445
,529 N ENOLA DR  ENOLA PA 17025,40.29768,-76.93981
,118 CHESTER RD  ENOLA PA 17025,40.28573,-76.94067
,9 SHERWOOD DR  ENOLA PA 17025,40.28456,-76.95166
,17 E MANOR AVE  ENOLA PA 17025,40.28452,-76.93039
,5001 HAMPDEN PARK DR  MECHANICSBURG PA 17050,40.2353,-76.97511
,295 S SPORTING HILL RD  MECHANICSBURG PA 17050,40.23271,-76.96877
,220 ST JOHNS CHURCH RD  CAMP HILL PA 17011,40.23398,-76.95769
,4200 CARLISLE PIKE  CAMP HILL PA 17011,40.23854,-76.95427
,451 SKYPORT RD  MECHANICSBURG PA 17050,40.25125,-76.98233
,4500 CREEKVIEW RD  MECHANICSBURG PA 17050,40.27128,-76.97146
,1200 GOOD HOPE RD  MECHANICSBURG PA 17050,40.26832,-76.98024
,1480 JERUSALEM RD  MECHANICSBURG PA 17050,40.27018,-76.99104
,1425 ORRS BRIDGE RD  MECHANICSBURG PA 17050,40.27591,-76.97146
,1775 LAMBS GAP RD  MECHANICSBURG PA 17050,40.276,-77.01043
,415 THREE SQUARE HOLLOW RD  NEWBURG PA 17240,40.15526,-77.55692
,509 HUMMEL AVE  LEMOYNE PA 17043,40.24304,-76.89484
,309 HERMAN AVE  LEMOYNE PA 17043,40.24355,-76.89146
,700 MARKET ST  LEMOYNE PA 17043,40.2442,-76.90007
,510 HERMAN AVE  LEMOYNE PA 17043,40.24136,-76.89385
,800 RUPP AVE  MECHANICSBURG PA 17055,40.21588,-76.9567
,2645 LISBURN RD  CAMP HILL PA 17011,40.20992,-76.92902
,2233 GETTYSBURG RD  CAMP HILL PA 17011,40.22953,-76.91848
,1120 DREXEL HILLS BLVD  NEW CUMBERLAND PA 17070,40.22798,-76.88745
,421 DEERFIELD RD  CAMP HILL PA 17011,40.22802,-76.88993
,1205 EASY RD  CARLISLE PA 17015,40.23646,-77.27648
,529 SHED RD  NEWVILLE PA 17241,40.23366,-77.4438
,117 W KELLER ST  MECHANICSBURG PA 17055,40.20951,-77.01031
,300 E SIMPSON ST  MECHANICSBURG PA 17055,40.2123,-77.00148
,201 S FILBERT ST  MECHANICSBURG PA 17055,40.21389,-76.99844
,201 E GREEN ST  MECHANICSBURG PA 17055,40.21674,-77.00494
,36 W ALLEN ST  MECHANICSBURG PA 17055,40.21437,-77.01034
,208 S YORK ST  MECHANICSBURG PA 17055,40.21,-77.0134
,350 N MIDDLESEX RD  CARLISLE PA 17013,40.26798,-77.14461
,1510 W TRINDLE RD  CARLISLE PA 17015,40.19552,-77.11615
,1220 BOILING SPRINGS RD  MECHANICSBURG PA 17055,40.16769,-77.07807
,1225 PEFFER RD  MECHANICSBURG PA 17055,40.16817,-77.0728
,100 CHESTNUT STREET  MT. HOLLY SPRINGS PA 17065,40.11631,-77.19044
,319 4TH ST  NEW CUMBERLAND PA 17070,40.2271,-76.86683
,1127 MARKET ST  NEW CUMBERLAND PA 17070,40.23388,-76.87134
,1300 BRIDGE ST  NEW CUMBERLAND PA 17070,40.23377,-76.87597
,498 9TH ST  NEW CUMBERLAND PA 17070,40.22887,-76.87491
,106 N HIGH ST  NEWBURG PA 17240,40.13869,-77.55542
,15 E BIG SPRING AVE  NEWVILLE PA 17241,40.17273,-77.39771
,2061 SPRING RD  CARLISLE PA 17013,40.23798,-77.18006
,910 CAVALRY RD  CARLISLE PA 17013,40.22499,-77.17948
,310 NORTH MIDDLETON RD  CARLISLE PA 17013,40.24715,-77.22152
,528 OAKVILLE RD  SHIPPENSBURG PA 17257,40.12886,-77.45946
,1750 PINE RD  NEWVILLE PA 17241,40.09676,-77.31327
,303 S WASHINGTON ST  SHIPPENSBURG PA 17257,40.05013,-77.51075
,5 N PRINCE ST  SHIPPENSBURG PA 17257,40.05169,-77.51686
,20 WALNUT BOTTOM RD  SHIPPENSBURG PA 17257,40.05799,-77.50537
,1 PARK LN  SHIREMANSTOWN PA 17011,40.22491,-76.95184
,277 N LOCUST POINT RD  MECHANICSBURG PA 17050,40.23118,-77.0792
,124 STATE RD  MECHANICSBURG PA 17050,40.21774,-77.04077
,208 WOODS DR  MECHANICSBURG PA 17050,40.23485,-77.03364
,1 VICTORY CHURCH RD  GARDNERS PA 17324,40.06102,-77.15683
,520 PARK DR  BOILING SPRINGS PA 17007,40.13323,-77.15233
,602 MCLAND RD  MT. HOLLY SPRINGS PA 17065,40.12588,-77.19266
,85 MARSH DRIVE  CARLISLE PA 17015,40.17504,-77.2026
,16 FIREHOUSE RD  WALNUT BOTTOM PA 17266,40.08355,-77.41484
,200 AIRPORT RD  SHIPPENSBURG PA 17257,40.05082,-77.47663
,135 MIDDLE SPRING RD  SHIPPENSBURG PA 17257,40.08144,-77.54117
,56 CLEVERSBURG RD  SHIPPENSBURG PA 17257,40.03612,-77.46851
,321 GETTYSBURG PIKE  MECHANICSBURG PA 17055,40.17689,-76.99045
,101 E LISBURN RD  MECHANICSBURG PA 17055,40.16771,-76.9747
,1934 S YORK ST  MECHANICSBURG PA 17055,40.17856,-76.9923
,130 NITTANY DR  MECHANICSBURG PA 17055,40.17905,-76.98523
