geoid,countyfp,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pop10,areakm,popdens,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,pollvoter_dens,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
42051260100,51,0.24614,0,0.0125,5591,27.0614,206.60423,0.0186,1,0.93452,0,0.16989,0,0.15845,0,0.10251,0,0.00096,1,0.01721,1,0.00669,1,0.95181,0,0.04118,0,0.05342,0.03331,0.0,0.0,0.07471
42051260200,51,1.0,0,0.02001,4336,57.53598,75.36154,0.0125,1,0.93237,0,0.13997,0,0.13685,0,0.08362,0,0.01629,1,0.0034,1,0.01531,1,0.94434,0,0.03216,0,0.0,0.05643,,,0.08817
42051260300,51,0.37308,0,0.01792,3798,58.0689,65.40506,0.0037,1,0.9487,0,0.14812,0,0.11103,0,0.0685,0,0.0048,1,0.00657,1,0.0,1,0.97902,0,0.03046,0,0.03099,0.03084,0.0,0.0,0.05423
42051260401,51,0.44151,0,0.0258,2393,29.90124,80.03014,0.00185,1,0.94018,0,0.08913,0,0.13158,0,0.06617,0,0.0,1,0.0,1,0.0,1,1.0,0,0.017,0,0.01577,0.0418,,,0.03877
42051260402,51,0.06347,0,0.01125,4573,83.11678,55.01897,0.00431,1,0.96582,0,0.18483,0,0.10144,0,0.09443,0,0.00313,1,0.0,1,0.0,1,0.99687,0,0.03377,0,0.0537,0.05386,0.0,,0.08531
42051260500,51,0.72231,0,0.01872,6519,252.20574,25.84794,0.02131,1,0.94675,0,0.21686,0,0.25161,0,0.07426,0,0.0,1,0.00112,1,0.0,1,0.99363,0,0.04808,0,0.02192,0.03122,1.0,0.0,0.02703
42051260600,51,0.26361,0,0.02392,4306,34.57063,124.5566,0.00418,1,0.96763,0,0.2325,0,0.16524,0,0.08882,0,0.00187,1,0.01336,1,0.0164,1,0.9536,0,0.03259,0,0.03947,0.04287,0.0,0.0,0.07477
42051260700,51,0.52434,0,0.03511,3806,2.72185,1398.31322,0.01322,1,0.89815,0,0.0954,0,0.12602,0,0.0678,0,0.00445,1,0.01937,1,0.02618,1,0.90707,0,0.02659,0,0.01992,0.05021,,0.0,0.06079
42051260800,51,0.19205,0,0.0461,3886,2.88527,1346.84211,0.0,1,0.86998,0,0.23259,0,0.26403,0,0.06538,0,0.00327,1,0.04985,1,0.01417,1,0.87442,0,0.02711,0,0.03215,0.04586,,0.0,0.04809
42051260900,51,0.60764,0,0.02837,4558,51.92819,87.77506,0.0,1,0.95598,0,0.1414,0,0.09396,0,0.05537,0,0.0,1,0.00255,1,0.00361,1,0.9843,0,0.03651,0,0.02218,0.0471,1.0,,0.09833
42051261000,51,0.22954,0,0.01068,2528,77.05033,32.80972,0.00577,1,0.97566,0,0.1761,0,0.09532,1,0.074,0,0.0153,1,0.00703,1,0.0124,1,0.93551,0,0.01823,0,0.02309,0.04004,1.0,,0.01887
42051261100,51,0.83402,0,0.00297,2556,54.68068,46.74411,0.00124,1,0.97965,0,0.10515,0,0.07492,0,0.06533,0,0.0,1,0.00905,1,0.01023,1,0.97875,0,0.0187,0,0.00484,0.05439,0.0,,0.05
42051261200,51,0.23209,0,0.01419,2331,2.82603,824.83118,0.00779,1,0.84418,0,0.23739,0,0.35199,0,0.1173,0,0.0,1,0.09775,0,0.07087,0,0.79521,0,0.01568,0,0.01719,0.04858,0.0,,0.05263
42051261300,51,0.0,1,0.03562,6648,83.62115,79.50142,0.01366,0,0.93045,0,0.14988,0,0.19917,0,0.10011,0,0.00368,1,0.17768,0,0.02376,0,0.76943,0,0.05337,0,0.04182,0.04776,0.0,,0.06838
42051261401,51,0.79587,0,0.00351,2518,19.58951,128.53815,0.0,1,0.95107,0,0.16462,0,0.22185,0,0.07526,0,0.0,1,0.04883,0,0.0,1,0.85499,0,0.01946,0,0.00566,0.05208,0.0,,0.00659
42051261402,51,0.0,1,0.0105,3048,39.51961,77.12626,0.00746,1,0.81407,0,0.30728,0,0.3452,0,0.08096,0,0.0,1,0.08171,0,0.00337,1,0.88231,0,0.01955,0,0.03726,0.04889,0.0,,0.03849
42051261500,51,0.29345,0,0.0429,4205,55.26503,76.08789,0.0,1,0.95446,0,0.13648,0,0.11365,0,0.08968,0,0.0,1,0.01032,1,0.00909,1,0.97862,0,0.03075,0,0.03825,0.04131,0.0,1.0,0.08333
42051261600,51,0.0,1,0.05066,2815,27.91343,100.84751,0.00867,1,0.87361,0,0.28535,0,0.20337,0,0.08023,0,0.0,1,0.0248,1,0.0,1,0.93472,0,0.02177,0,0.03212,0.04847,0.0,0.0,0.03739
42051261700,51,0.56394,0,0.05383,2918,8.91098,327.46126,0.0,1,0.86811,0,0.25418,0,0.16903,0,0.06065,0,0.00517,1,0.0317,1,0.00861,1,0.93625,0,0.02078,0,0.01429,0.07489,0.0,0.0,0.06144
42051261800,51,0.46535,0,0.02129,3639,10.03165,362.75181,0.00356,1,0.86438,0,0.1001,0,0.14906,0,0.06205,0,0.0,1,0.01076,1,0.0,1,0.94595,0,0.02706,0,0.02146,0.06015,0.0,0.0,0.0662
42051261900,51,0.39453,0,0.05623,3484,1.63023,2137.12299,0.0,1,0.68754,0,0.19883,0,0.26935,0,0.05239,0,0.00303,1,0.13537,0,0.00242,1,0.80921,0,0.02683,0,0.02433,0.06487,0.0,0.0,0.06862
42051262000,51,0.0,1,0.1301,4915,16.61586,295.8018,0.00575,1,0.97065,0,0.09312,0,0.05147,0,0.06127,0,0.01126,1,0.02013,1,0.0,1,0.94956,0,0.03741,0,0.06283,0.08576,0.11451,0.70428,0.15452
42051262100,51,0.73719,0,0.01284,2524,2.56513,983.96542,0.0099,1,0.94158,0,0.21651,0,0.14086,0,0.04942,0,0.00545,1,0.03502,1,0.03152,1,0.91984,0,0.01941,0,0.00824,0.08388,0.0,1.0,0.13208
42051262200,51,0.28894,0,0.0759,3302,1.85333,1781.66111,0.00358,1,0.91027,0,0.2298,0,0.21758,0,0.06298,0,0.02998,1,0.0192,1,0.0165,1,0.87841,0,0.02215,0,0.02599,0.07073,0.00014,0.0,0.06085
42051262300,51,0.04263,0,0.02061,3589,1.80791,1985.16557,0.06175,0,0.75017,0,0.29968,0,0.36007,0,0.10283,0,0.0,1,0.35936,0,0.00082,1,0.47622,0,0.0231,0,0.02586,0.06704,0.0,0.0,0.02339
42051262400,51,0.18264,0,0.0117,3240,24.3179,133.23518,0.0,1,0.96102,0,0.17309,0,0.15219,0,0.09417,0,0.01215,1,0.02309,1,0.0003,1,0.94016,0,0.02593,0,0.03765,0.07485,0.33333,0.0,0.14739
42051262500,51,0.07035,0,0.01972,3355,54.23212,61.86371,0.0,1,0.99623,0,0.12361,0,0.19271,0,0.07422,0,0.0,1,0.0153,1,0.01172,1,0.96126,0,0.02328,0,0.03309,0.03992,0.0,0.0,0.0431
42051262600,51,0.0447,0,0.01036,3000,99.15183,30.25663,0.00359,1,0.90731,0,0.24261,0,0.18572,0,0.0593,0,0.0,1,0.01149,1,0.00259,1,0.96887,0,0.02036,0,0.03162,0.03207,0.0,,0.09462
42051262701,51,1.0,0,0.04587,3575,237.73762,15.03759,0.03841,1,0.99101,0,0.07485,0,0.19262,0,0.1098,0,0.0,1,0.00317,1,0.05389,1,0.94294,0,0.02527,0,0.0,,,,
42051262702,51,0.2359,0,0.02141,3140,271.23975,11.57647,0.0,1,0.92139,0,0.14639,0,0.14604,0,0.07195,0,0.0,1,0.00421,1,0.02602,1,0.95254,0,0.02083,0,0.02434,0.07786,0.0,,0.1
42051262800,51,0.26183,0,0.05366,7128,93.83184,75.96568,0.00642,1,0.98735,0,0.12354,0,0.11064,0,0.05288,0,0.00159,1,0.02919,1,0.02341,1,0.91547,0,0.05006,0,0.06016,0.04584,,,0.03744
42051262900,51,0.27853,0,0.02146,5097,87.67123,58.13766,0.00688,1,0.85776,0,0.20985,0,0.27465,0,0.0813,0,0.0,1,0.02567,1,0.00998,1,0.95681,0,0.03637,0,0.04182,0.04403,0.0,,0.03175
42051263000,51,0.26041,0,0.01062,3450,3.99617,863.3274,0.0,1,0.92176,0,0.26677,0,0.27215,0,0.05747,0,0.0,1,0.03931,1,0.0,1,0.88386,0,0.02447,0,0.0277,0.05409,0.0,,0.04651
