geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop10,areakm,popdens,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
42055010100,55,0.0506,0,0.9025,0,0.10562,0,0.17721,0,0.07863,0,0.00047,1,0.00093,1,0.00187,1,0.99393,0,0.02795,0,0.3386,0,0.00742,0.02611,4414,292.1899,15.10661,0.03053,0.0,,0.064
42055010200,55,0.03108,0,0.93995,0,0.09039,0,0.07174,0,0.08419,0,0.00793,1,0.00278,1,0.0015,1,0.97686,0,0.02997,0,0.293,0,0.00805,0.03004,4469,267.64944,16.69721,0.04732,0.16667,,0.07246
42055010300,55,0.00523,1,0.93755,0,0.09323,0,0.09461,0,0.07824,0,0.00593,1,0.01964,1,0.02158,1,0.93127,0,0.06286,0,0.83463,0,0.06663,0.01541,9325,100.9674,92.35654,0.04887,0.0,0.0,0.06024
42055010400,55,0.01494,1,0.95447,0,0.07152,0,0.12648,0,0.07022,0,0.01758,1,0.03846,1,0.07317,1,0.85638,0,0.05796,0,0.23821,0,0.08077,0.06344,8271,61.03969,135.50201,0.07056,0.08195,0.04949,0.1271
42055010500,55,0.02906,1,0.97585,0,0.14417,0,0.09073,0,0.0725,0,0.0,1,0.00091,1,0.08424,0,0.89206,0,0.05482,0,0.0983,0,0.02092,0.06752,8429,87.40563,96.43544,0.06646,0.01915,0.13988,0.11935
42055010600,55,0.01799,1,0.96685,0,0.12657,0,0.06595,0,0.10042,0,0.0147,1,0.04098,1,0.02534,1,0.88675,0,0.04523,0,0.23925,0,0.07097,0.04657,6427,21.07442,304.96689,0.06866,0.0154,0.13039,0.13383
42055010700,55,0.00163,1,0.90954,0,0.13285,0,0.1022,1,0.04679,0,0.02226,1,0.04845,1,0.01393,1,0.89726,0,0.05744,0,0.19153,0,0.06481,0.06662,8104,111.10648,72.93904,0.06487,0.05592,0.3434,0.11754
42055010800,55,0.03465,1,0.90627,0,0.12848,0,0.05882,0,0.04756,0,0.01089,1,0.03055,1,0.08209,0,0.86637,0,0.02519,0,0.2493,0,0.10374,0.02612,3754,3.9111,959.83327,0.07247,0.02885,0.06731,0.10606
42055010900,55,0.05163,1,0.92376,0,0.15954,0,0.13144,0,0.08907,0,0.00808,1,0.0912,0,0.11607,1,0.70642,0,0.02885,0,0.09152,0,0.13099,0.03286,4537,5.00305,906.84618,0.06783,0.01242,0.09451,0.08988
42055011000,55,0.14633,0,0.80228,0,0.18698,0,0.29502,0,0.09631,0,0.0055,1,0.19674,0,0.18396,0,0.58353,0,0.02954,0,0.14059,0,0.05938,0.02707,4888,4.54499,1075.46971,0.06065,0.01869,0.0,0.08493
