osm_id,code,fclass,name,point_x,point_y,lon,lat
357288543,2082,school,Greenfield High School,-75.5960202000,41.6203583000,-75.59602,41.62036
357293777,2084,college,Keystone College,-75.7740818000,41.5589660000,-75.77408,41.55897
357309557,2082,school,Saint Marys School,-75.6974133000,41.3717467000,-75.69741,41.37175
357311757,2082,school,Scott High School,-75.6132434000,41.5350800000,-75.61324,41.53508
357334057,2082,school,Moosic School,-75.4551828000,41.4892503000,-75.45518,41.48925
357334273,2082,school,Fayette School,-75.5421315000,41.2314726000,-75.54213,41.23147
357334276,2082,school,Pine Grove School,-75.5726879000,41.1978619000,-75.57269,41.19786
357334985,2082,school,Columbus School,-75.6071324000,41.4759136000,-75.60713,41.47591
357335044,2082,school,Dickson High School,-75.6224108000,41.4639691000,-75.62241,41.46397
357335185,2082,school,Franklin School,-75.6190773000,41.4225807000,-75.61908,41.42258
357335342,2082,school,Jefferson School,-75.4865731000,41.4220275000,-75.48657,41.42203
357335346,2082,school,Jefferson School,-75.6546341000,41.4659128000,-75.65463,41.46591
357335349,2082,school,Jessup High School,-75.5671310000,41.4723034000,-75.56713,41.4723
357335394,2082,school,Lincoln School,-75.6232441000,41.4542469000,-75.62324,41.45425
357335589,2082,school,Olyphant High School,-75.6010211000,41.4709138000,-75.60102,41.47091
357335755,2082,school,Saint Anns Monastery,-75.6910242000,41.4017464000,-75.69102,41.40175
357335939,2082,school,South Scranton High School,-75.6713013000,41.3981357000,-75.6713,41.39814
357336202,2082,school,Summit University,-75.6854685000,41.4950785000,-75.68547,41.49508
357336263,2082,school,West Scranton High School,-75.6878264000,41.4096456000,-75.68783,41.40965
357347091,2082,school,Elmhurst Elementary School,-75.5437975000,41.3711935000,-75.5438,41.37119
357348435,2082,school,Scranton Technical High School,-75.6549119000,41.4142468000,-75.65491,41.41425
357348448,2082,school,Johnson School of Technology,-75.6396336000,41.4495244000,-75.63963,41.44952
357348453,2082,school,University of Scranton,-75.6582453000,41.4053580000,-75.65825,41.40536
357353037,2082,school,Old Forge Junior Senior High School,-75.7421368000,41.3717460000,-75.74214,41.37175
357353047,2082,school,Valley View High School,-75.5575064000,41.4989245000,-75.55751,41.49892
357353056,2082,school,Carbondale Area Junior Senior High School,-75.5126323000,41.5680071000,-75.51263,41.56801
357353073,2082,school,Mid Valley Secondary Center,-75.6041446000,41.4478030000,-75.60414,41.4478
357362111,2082,school,Dunmore High School,-75.6335223000,41.4284137000,-75.63352,41.42841
357362116,2082,school,Dunmore Elementary School,-75.6354668000,41.4278581000,-75.63547,41.42786
357362854,2082,school,Mid Valley Intermediate Elementary School,-75.6018544000,41.4706361000,-75.60185,41.47064
357362860,2082,school,Roosevelt Elementary School,-75.5754645000,41.4964697000,-75.57546,41.49647
357362864,2082,school,Riverside Junior Senior High School,-75.7193647000,41.3811124000,-75.71936,41.38111
357362871,2082,school,Whitter Elementary School,-75.6651901000,41.4006357000,-75.66519,41.40064
357362874,2082,school,Prescott Elementary School,-75.6429670000,41.4086915000,-75.64297,41.40869
357362877,2082,school,Morris Elementary School,-75.6466408000,41.4327091000,-75.64664,41.43271
357362880,2082,school,Lincoln Jackson Elementary School,-75.6846351000,41.4106353000,-75.68464,41.41064
357362883,2082,school,Kennedy Elementary School,-75.6799127000,41.3836912000,-75.67991,41.38369
357362886,2082,school,Bancroft Elementary School,-75.6630027000,41.4235260000,-75.663,41.42353
357365628,2082,school,Covington Elementary School,-75.5187971000,41.3067499000,-75.5188,41.30675
357368731,2082,school,Saint Gregorys Academy,-75.5426863000,41.3823045000,-75.54269,41.3823
357368734,2082,school,Jefferson School,-75.5021292000,41.4142495000,-75.50213,41.41425
357368746,2082,school,Saint Marys School,-75.6190772000,41.4681358000,-75.61908,41.46814
367961606,2014,arts_centre,Smurfit Arts Center,-75.6566667000,41.4091667000,-75.65667,41.40917
367961623,2014,arts_centre,McDade Center for Literary and Performing Arts,-75.6575000000,41.4069444000,-75.6575,41.40694
367961662,2014,arts_centre,Sette LaVerghetta Center for Performing Arts,-75.6366667000,41.4341667000,-75.63667,41.43417
367961665,2014,arts_centre,Michael and Dolores Insalaco Studio Arts Center,-75.6338889000,41.4322222000,-75.63389,41.43222
367961666,2014,arts_centre,Liberal Arts Center,-75.6358726000,41.4327604000,-75.63587,41.43276
367963776,2083,kindergarten,Fricchione Day Care Center,-75.6297222000,41.4327778000,-75.62972,41.43278
367975561,2084,college,Shield Center for Architechture,-75.6336111000,41.4333333000,-75.63361,41.43333
599825867,2303,cafe,Northern Light Espresso,-75.6626336000,41.4071330000,-75.66263,41.40713
602755229,2303,cafe,Caferazzi,-75.6647638000,41.4087952000,-75.66476,41.4088
1031255806,2501,supermarket,Weis,-75.6907319000,41.4851273000,-75.69073,41.48513
2012642154,2501,supermarket,Maines Food & Party Warehouse,-75.6897560000,41.3775695000,-75.68976,41.37757
4199875090,2303,cafe,Starbucks,-75.6807518000,41.3638582000,-75.68075,41.36386
4522441230,2082,school,Carbondale Area Elementary School,-75.5148141000,41.5679869000,-75.51481,41.56799
4936478926,2303,cafe,Back Burner's Cafe,-75.6284092000,41.4144998000,-75.62841,41.4145
5237445386,2082,school,Our Lady of Peace,-75.6972823000,41.5058238000,-75.69728,41.50582
5256432111,2012,community_centre,Scranton Jewish Community Center,-75.6559780000,41.4114334000,-75.65598,41.41143
5558008268,2501,supermarket,Gerrity's,-75.7082000000,41.4956073000,-75.7082,41.49561
5802528685,2012,community_centre,St. Michael's Hall,-75.5404755000,41.5253697000,-75.54048,41.52537
5825583371,2501,supermarket,P & R Discount Store,-75.5786657000,41.5029719000,-75.57867,41.50297
5849594022,2303,cafe,Veloce,-75.6680541000,41.4096181000,-75.66805,41.40962
7307839148,2501,supermarket,Giant Supermarket,-75.6093782000,41.4677651000,-75.60938,41.46777
367966083,2099,public_building,Springbrook Township Municipal Building,-75.5746319000,41.3356378000,-75.57463,41.33564
565297648,2001,police,Scranton Police Headquarters,-75.6607428000,41.4098757000,-75.66074,41.40988
575477735,2005,post_office,,-75.6629925000,41.4092266000,-75.66299,41.40923
575477743,2009,courthouse,,-75.6632604000,41.4086750000,-75.66326,41.40868
610184291,2009,courthouse,Lackawanna County Administration Building,-75.6618941000,41.4070684000,-75.66189,41.40707
775897588,2001,police,Jessup Police Station,-75.5678315000,41.4723257000,-75.56783,41.47233
4209952493,2001,police,,-75.6665792000,41.4058857000,-75.66658,41.40589
4594515866,2008,town_hall,Glunburn township building,-75.7241219000,41.5236817000,-75.72412,41.52368
