idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
21,-76.54348,40.21806,0.88505,0.0,0.37325,0.42747,0.9326,0.43996,0.1519,0.39702,0.35186,0.12658,0.34571,0.71126,0.46427,0.44771
22,-76.53408,40.21787,0.88505,0.95604,0.3339,0.42747,0.9326,0.43996,0.1519,0.39702,0.35186,0.12658,0.35221,0.91464,0.54274,0.53921
88,-76.47665,40.24548,0.88505,0.0,0.0,0.42747,0.9326,0.43996,0.1519,0.39702,0.35186,0.12658,0.35221,0.357,0.40142,0.38753
89,-76.46725,40.24528,0.02446,0.0,0.35443,0.22699,0.17585,0.03746,0.39394,0.23264,0.26839,0.0922,0.0065,0.69381,0.29192,0.28713
113,-76.47639,40.25268,0.11256,0.0,0.32073,0.06415,0.33356,0.64403,0.19039,0.21656,0.5337,0.60041,0.55884,0.88898,0.41269,0.41702
114,-76.46698,40.25248,0.02446,0.8948,0.34793,0.22699,0.17585,0.03746,0.39394,0.23264,0.26839,0.0922,0.1105,0.99914,0.34538,0.35842
171,-76.52289,40.26806,0.11256,0.97828,0.29593,0.06415,0.33356,0.64403,0.19039,0.21656,0.5337,0.60041,0.55884,0.99504,0.48827,0.50651
183,-76.41003,40.26566,0.56928,0.7872,0.27164,0.48067,0.05337,0.69056,0.20647,0.43551,0.2441,0.0,0.06175,1.0,0.38669,0.41584
199,-76.58848,40.27662,0.88505,0.88779,0.61991,0.42747,0.9326,0.43996,0.1519,0.39702,0.35186,0.12658,1.0,0.0,0.65468,0.66588
200,-76.57907,40.27643,0.88505,0.98324,0.37752,0.42747,0.9326,0.43996,0.1519,0.39702,0.35186,0.12658,1.0,0.0,0.63154,0.64417
210,-76.48501,40.27447,0.11256,0.8611,0.35665,0.06415,0.33356,0.64403,0.19039,0.21656,0.5337,0.60041,0.55884,0.81406,0.47802,0.4958
215,-76.43798,40.27347,0.02446,0.8729,0.41823,0.22699,0.17585,0.03746,0.39394,0.23264,0.26839,0.0922,0.1105,0.86897,0.34602,0.35965
