provider,lat,lon,num_stops_per_week,score
Monroe County Transit Authority,41.07656,-75.32688,41,2
Monroe County Transit Authority,41.10249,-75.3343,72,2
Monroe County Transit Authority,41.1209,-75.3559,38,2
Monroe County Transit Authority,41.12286,-75.3576,38,2
Monroe County Transit Authority,41.12296,-75.35506,36,2
Monroe County Transit Authority,41.14609,-75.36515,30,2
Monroe County Transit Authority,41.16293,-75.35758,38,2
Monroe County Transit Authority,41.17101,-75.35916,38,2
Monroe County Transit Authority,41.18584,-75.35666,38,2
Monroe County Transit Authority,41.21213,-75.36304,38,2
Monroe County Transit Authority,41.19225,-75.35661,38,2
Monroe County Transit Authority,41.21909,-75.36516,2,1
Monroe County Transit Authority,41.1357,-75.36507,57,2
Monroe County Transit Authority,41.09475,-75.32802,38,2
Monroe County Transit Authority,41.04808,-75.31252,36,2
Monroe County Transit Authority,41.0314,-75.30144,41,2
Monroe County Transit Authority,41.01304,-75.29303,41,2
Monroe County Transit Authority,41.00661,-75.28357,41,2
Monroe County Transit Authority,41.005,-75.28008,41,2
Monroe County Transit Authority,40.99622,-75.25339,33,2
Monroe County Transit Authority,41.0186,-75.29623,41,2
Monroe County Transit Authority,41.03471,-75.3028,41,2
Monroe County Transit Authority,40.99879,-75.26308,33,2
Monroe County Transit Authority,40.99359,-75.24652,35,2
Monroe County Transit Authority,40.98857,-75.2356,6,1
Monroe County Transit Authority,41.12444,-75.35539,36,2
Monroe County Transit Authority,40.98956,-75.21665,2,1
Monroe County Transit Authority,40.99217,-75.17532,68,2
Monroe County Transit Authority,40.99252,-75.173,35,2
Monroe County Transit Authority,40.99803,-75.17056,35,2
Monroe County Transit Authority,41.01788,-75.18323,35,2
Monroe County Transit Authority,40.98347,-75.22468,35,2
Monroe County Transit Authority,40.98267,-75.22006,35,2
Monroe County Transit Authority,40.98263,-75.20903,35,2
Monroe County Transit Authority,40.98259,-75.20624,35,2
Monroe County Transit Authority,40.9835,-75.20117,35,2
Monroe County Transit Authority,40.98432,-75.1983,35,2
Monroe County Transit Authority,40.99004,-75.18998,35,2
Monroe County Transit Authority,41.00092,-75.1785,35,2
Monroe County Transit Authority,40.99948,-75.18119,35,2
Monroe County Transit Authority,40.99789,-75.18169,35,2
Monroe County Transit Authority,40.99555,-75.1829,35,2
Monroe County Transit Authority,40.99809,-75.18556,35,2
