idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
35,-75.27176,40.01119,0.5414,0.80288,0.80716,0.74288,0.0,0.20686,0.63575,0.27288,0.23453,0.29278,0.1733,0.99477,0.4551,0.45095
3,-75.27329,39.98241,0.70686,0.0,0.94698,0.84624,0.41081,0.53465,0.70969,0.62522,0.37093,0.21957,0.12231,0.71209,0.46051,0.44999
9,-75.26354,39.98931,0.70686,0.97937,0.37013,0.84624,0.41081,0.53465,0.70969,0.62522,0.37093,0.21957,0.00922,0.99651,0.45816,0.45494
18,-75.24443,39.99592,0.57408,0.84776,0.64316,0.30324,0.0,0.10619,0.36338,0.47676,0.03537,0.97189,0.01794,0.97698,0.4628,0.46716
22,-75.2815,40.00429,0.78777,0.82452,0.60452,0.62493,0.0,0.03886,0.78189,0.79227,0.69618,0.00218,0.0345,0.94356,0.4653,0.46607
23,-75.27214,40.004,0.78777,0.85372,0.55861,0.62493,0.0,0.03886,0.78189,0.79227,0.69618,0.00218,0.11229,0.9809,0.47084,0.47175
27,-75.23468,40.00281,0.16996,0.81965,0.58542,0.8506,0.0,0.85597,0.26489,0.65347,0.73751,0.02702,0.10415,0.89926,0.47459,0.49634
28,-75.22531,40.00252,0.16996,0.9886,0.0,0.8506,0.0,0.85597,0.26489,0.65347,0.73751,0.02702,0.03348,0.91342,0.45478,0.4828
36,-75.26239,40.0109,0.5414,0.87631,0.92947,0.74288,0.0,0.20686,0.63575,0.27288,0.23453,0.29278,0.1733,0.75349,0.46192,0.46059
41,-75.21556,40.00941,0.16996,0.99869,0.4793,0.8506,0.0,0.85597,0.26489,0.65347,0.73751,0.02702,0.03348,0.92853,0.48542,0.51348
44,-75.31821,40.01985,0.03377,0.92069,0.4456,0.91139,0.0,0.07452,0.46913,0.22632,0.92969,0.9899,0.11955,0.83687,0.46532,0.46417
705,-75.30161,40.15628,0.39381,0.90275,0.21303,0.24637,0.0,0.6494,0.21165,0.93231,0.49012,0.88502,0.39991,0.99368,0.4999,0.52365
706,-75.29223,40.15599,0.8994,0.82452,0.4217,0.63422,0.0,0.29757,0.60481,0.60459,0.30491,0.30941,0.20686,0.96499,0.45923,0.47964
714,-75.21714,40.15362,0.40202,0.78806,0.86469,0.63757,0.71325,0.15957,0.94487,0.0,0.38495,0.47828,0.16219,0.69545,0.50321,0.48577
716,-75.19837,40.15302,0.72029,0.98351,0.32852,0.79445,0.0,0.3092,0.65238,0.41103,0.40253,0.3235,0.20228,0.98627,0.48857,0.50614
726,-75.10453,40.14998,0.17432,0.96383,0.52041,0.78399,0.0,0.30622,0.19589,0.47378,0.51888,0.08701,0.70468,0.97959,0.50854,0.53749
750,-75.40449,40.16665,0.92759,0.96034,0.32212,0.23867,0.0,0.46259,0.70279,0.73068,0.43231,0.93652,0.50545,0.98845,0.50689,0.53205
762,-75.29184,40.16319,0.8994,0.94386,0.33077,0.63422,0.0,0.29757,0.60481,0.60459,0.30491,0.30941,0.207,0.95373,0.47772,0.5
778,-75.14167,40.1584,0.77208,1.0,0.2001,0.39831,0.70482,0.13895,0.69923,0.73446,0.00494,0.29903,0.47225,0.97443,0.47309,0.46553
782,-75.10412,40.15718,0.17432,0.95308,0.21884,0.78399,0.0,0.30622,0.19589,0.47378,0.51888,0.08701,0.14432,0.72269,0.45498,0.47603
785,-75.07597,40.15625,0.00705,0.96702,0.0,0.28109,0.56842,0.26678,0.42148,0.12101,0.64933,0.97727,0.17119,0.65427,0.47,0.46606
