osm_id,code,fclass,name,point_x,point_y,lon,lat
357282590,2082,school,Curtis Valley School,-75.4104587000,41.6786958000,-75.41046,41.6787
357285683,2082,school,Fermoy School,-75.3632351000,41.5550859000,-75.36324,41.55509
357290896,2082,school,Hoadley School,-75.2801771000,41.5123102000,-75.28018,41.51231
357311693,2082,school,School Number 3,-75.3079550000,41.6525872000,-75.30796,41.65259
357333873,2082,school,Fulkerson School,-75.4265700000,41.7653621000,-75.42657,41.76536
357333894,2082,school,South Preston School,-75.3951791000,41.8067516000,-75.39518,41.80675
357333906,2082,school,King Hill School,-75.4465681000,41.8820282000,-75.44657,41.88203
357333970,2082,school,Pine Mill School,-75.2418403000,41.7870326000,-75.24184,41.78703
357333974,2082,school,Lester School,-75.2087837000,41.7870326000,-75.20878,41.78703
357333981,2082,school,Kellams School,-75.1371146000,41.7725883000,-75.13711,41.77259
357333990,2082,school,Priceville School,-75.1935051000,41.8106437000,-75.19351,41.81064
357333993,2082,school,South Branch School,-75.2332285000,41.8203658000,-75.23323,41.82037
357334001,2082,school,Pine Flat School,-75.0807235000,41.8017549000,-75.08072,41.80175
357334011,2082,school,Rock Branch School,-75.1679509000,41.5489777000,-75.16795,41.54898
357334037,2082,school,Riverside School,-75.0507240000,41.6345331000,-75.05072,41.63453
357334040,2082,school,Brown School,-75.4235160000,41.4084181000,-75.42352,41.40842
357334043,2082,school,East School,-75.3835150000,41.4006415000,-75.38352,41.40064
357334046,2082,school,Advent School,-75.3993484000,41.4281409000,-75.39935,41.42814
357334049,2082,school,Elm School,-75.4390713000,41.4675841000,-75.43907,41.46758
357334051,2082,school,Frisbie School,-75.4321291000,41.4940013000,-75.43213,41.494
357334061,2082,school,Arlington School,-75.2885123000,41.4042550000,-75.28851,41.40426
357334068,2082,school,Ammermanton School,-75.3104566000,41.4459208000,-75.31046,41.44592
357334209,2082,school,Shehawken School,-75.3940662000,41.8895292000,-75.39407,41.88953
357350092,2082,school,Honesdale Catholic School,-75.2487868000,41.5750887000,-75.24879,41.57509
357350767,2082,school,Lincoln Elementary School,-75.2512869000,41.5670331000,-75.25129,41.56703
357350776,2082,school,Wayne Highlands Middle School,-75.2579538000,41.5595329000,-75.25795,41.55953
357350785,2082,school,Honesdale High School,-75.2594534000,41.5607492000,-75.25945,41.56075
357367806,2082,school,East Cherry Ridge School,-75.2568428000,41.5306442000,-75.25684,41.53064
357368714,2082,school,Saint Tikhons Seminary,-75.4010142000,41.5148071000,-75.40101,41.51481
1666156277,2082,school,EverGreen Elementary School,-75.4032965000,41.4165391000,-75.4033,41.41654
4512117841,2303,cafe,White Rock Cafe,-75.2658618000,41.6860968000,-75.26586,41.6861
4738745290,2501,supermarket,Walmart Supercenter,-75.2264698000,41.5572729000,-75.22647,41.55727
