cluster_id,geometry,near_node,lon,lat
10,POINT (-76.270507065914 40.43420317640275),136027833,-76.270507065914,40.43420317640275
25,POINT (-75.73163765414172 40.40076971693573),136245776,-75.73163765414172,40.40076971693573
34,POINT (-75.95404614242217 40.38734710470744),136152684,-75.95404614242217,40.387347104707445
20,POINT (-75.92036549387721 40.39850307342181),136158887,-75.92036549387721,40.39850307342181
27,POINT (-75.58195198015619 40.4239848504839),136037572,-75.58195198015619,40.423984850483905
12,POINT (-75.97458064561178 40.47437135835131),136149667,-75.97458064561178,40.474371358351306
33,POINT (-76.13262982217751 40.35207815027806),136249638,-76.1326298221775,40.35207815027806
15,POINT (-75.63852431355359 40.47223352515702),135977571,-75.63852431355359,40.47223352515702
9,POINT (-75.90608812206516 40.24791815524021),136313025,-75.90608812206516,40.247918155240214
32,POINT (-75.8034023143032 40.37781747034841),1998990150,-75.8034023143032,40.37781747034841
7,POINT (-75.64004425546113 40.34576077680213),136230832,-75.64004425546113,40.34576077680213
24,POINT (-75.99732907740567 40.33109767485622),136347740,-75.99732907740567,40.33109767485622
3,POINT (-75.72390847488961 40.26650684017127),136085928,-75.72390847488961,40.266506840171274
22,POINT (-75.88782469321799 40.52588178064461),135943984,-75.887824693218,40.52588178064461
2,POINT (-76.12237316615416 40.43177553733609),136090154,-76.12237316615416,40.43177553733609
21,POINT (-76.03159619341662 40.30061757513179),136224321,-76.03159619341662,40.30061757513179
35,POINT (-75.97167077895985 40.23793898728598),136252476,-75.97167077895985,40.23793898728598
29,POINT (-76.19379170419575 40.37492068970941),136332385,-76.19379170419575,40.37492068970941
17,POINT (-75.88152969065764 40.17088926289511),6676844639,-75.88152969065764,40.17088926289511
39,POINT (-75.82086236328971 40.21012970878234),136279015,-75.8208623632897,40.21012970878234
19,POINT (-76.19168434268151 40.4827168474195),136134068,-76.19168434268151,40.482716847419496
28,POINT (-76.08034053212147 40.50459487464263),136282704,-76.08034053212147,40.504594874642635
8,POINT (-76.083618457512 40.32470177083093),136211337,-76.083618457512,40.32470177083093
30,POINT (-75.92059923454616 40.32533206810435),136336435,-75.92059923454616,40.32533206810435
14,POINT (-75.79941131548502 40.27224741794981),136147126,-75.79941131548502,40.27224741794981
38,POINT (-75.72174568882194 40.33116306839506),5760558924,-75.72174568882194,40.331163068395064
4,POINT (-75.98443569348616 40.55277035415511),136429813,-75.98443569348616,40.552770354155115
31,POINT (-75.87573819743872 40.60720709162533),136153850,-75.87573819743872,40.60720709162533
11,POINT (-75.81695517528611 40.45267166284753),136168007,-75.81695517528611,40.45267166284753
16,POINT (-75.87930510093867 40.33222095654074),136349134,-75.87930510093867,40.332220956540745
23,POINT (-76.3308158882748 40.47162321939168),136461219,-76.3308158882748,40.47162321939168
36,POINT (-75.85197328900817 40.29764039432683),2691550624,-75.85197328900817,40.29764039432683
1,POINT (-75.91907274567448 40.35462737972483),136433458,-75.91907274567448,40.35462737972483
13,POINT (-75.94958624754497 40.33958227688066),136273571,-75.94958624754497,40.33958227688066
18,POINT (-75.87560061891975 40.43385792709143),136420733,-75.87560061891975,40.43385792709143
5,POINT (-75.70068623226658 40.5057481590292),136155409,-75.70068623226658,40.505748159029196
6,POINT (-75.96524671864368 40.30388720542206),136223781,-75.96524671864368,40.303887205422065
0,POINT (-75.78692316568302 40.58113864348041),136313774,-75.78692316568302,40.581138643480415
26,POINT (-75.77331137469336 40.50884323601812),136205681,-75.77331137469336,40.50884323601812
37,POINT (-76.03219369097799 40.40989331317377),136179802,-76.03219369097799,40.40989331317377
