cluster,site,cost
17.0,38.0,6.07
9.0,133.0,7.0
39.0,141.0,4.26
35.0,247.0,1.86
14.0,428.0,3.88
3.0,481.0,0.0
21.0,597.0,2.95
36.0,614.0,1.2
6.0,655.0,1.54
8.0,812.0,0.6
24.0,880.0,0.49
30.0,888.0,1.05
16.0,893.0,0.93
38.0,908.0,1.23
13.0,946.0,0.63
33.0,990.0,1.41
1.0,1076.0,0.41
7.0,1174.0,3.98
29.0,1252.0,3.67
32.0,1370.0,0.0
34.0,1431.0,2.47
20.0,1510.0,1.27
37.0,1661.0,4.32
27.0,1705.0,6.28
25.0,1772.0,0.18
2.0,1816.0,4.81
23.0,1967.0,4.43
18.0,2016.0,0.43
11.0,2205.0,0.96
15.0,2317.0,7.3
10.0,2440.0,7.89
19.0,2639.0,3.52
12.0,2748.0,3.98
28.0,2892.0,6.34
5.0,2935.0,1.74
26.0,2994.0,1.07
22.0,3048.0,5.29
4.0,3253.0,0.84
0.0,3366.0,5.34
31.0,3589.0,2.89
