cluster,site,cost
10.0,14.0,64.13592284584195
10.0,15.0,65.19414571981513
10.0,17.0,67.0501485532748
10.0,18.0,68.12096739826717
10.0,24.0,63.67005213882145
10.0,27.0,73.10377873707685
10.0,28.0,68.69506758840723
10.0,38.0,67.42344570388539
10.0,40.0,66.35103316209806
10.0,53.0,66.98799539506314
10.0,115.0,75.20182367249365
10.0,116.0,75.85784514713541
10.0,132.0,64.54792225384318
10.0,133.0,62.98892962332385
10.0,139.0,73.14206618862389
10.0,140.0,73.5856823294021
10.0,141.0,74.4373751407974
10.0,153.0,56.58029005679346
10.0,167.0,72.85800887320266
10.0,168.0,76.76385773049822
10.0,182.0,55.072512955621555
10.0,197.0,76.45227583978524
10.0,246.0,51.91311220748879
10.0,247.0,54.659785253582214
10.0,296.0,69.91072753709312
10.0,303.0,69.52754834562333
10.0,304.0,69.50938089809827
10.0,336.0,67.78446956798777
10.0,343.0,67.04205441643496
10.0,344.0,68.1101655675901
10.0,384.0,65.89413539373001
10.0,387.0,67.60554777396041
10.0,388.0,71.08158043331144
10.0,394.0,75.56634089412148
10.0,396.0,78.10843218620394
10.0,403.0,48.1119194203835
10.0,426.0,65.99512511622494
10.0,427.0,65.7188784561034
10.0,428.0,65.79190889094004
10.0,430.0,67.06953176739871
10.0,431.0,70.52149020999009
10.0,432.0,69.25442967585809
10.0,433.0,71.44747253814947
10.0,436.0,75.55254791066243
10.0,437.0,78.06591488097322
10.0,449.0,44.94354455863894
10.0,450.0,45.59654516758421
10.0,469.0,60.58203229556554
10.0,472.0,64.04828429949262
10.0,478.0,72.83099025348618
10.0,479.0,74.66831462248217
10.0,481.0,76.57852750478175
10.0,496.0,45.77686206767991
10.0,501.0,49.27681857158835
10.0,502.0,48.794609467235006
10.0,507.0,52.89256266544048
10.0,513.0,62.600457488501775
10.0,514.0,59.896570429210385
10.0,528.0,75.12097589412713
10.0,540.0,39.154939788981814
10.0,541.0,39.9825088545615
10.0,545.0,49.11772254464562
10.0,546.0,46.022241664284735
10.0,549.0,49.50881379944573
10.0,550.0,47.37351510557123
10.0,551.0,47.77795419240185
10.0,556.0,51.42270172865895
10.0,561.0,55.982185153258754
10.0,562.0,58.010183711674
10.0,563.0,58.09921026914477
10.0,565.0,60.267422828330524
10.0,567.0,66.47076680785008
10.0,568.0,67.96920641663381
10.0,577.0,75.95182705050178
10.0,579.0,81.14422716483438
10.0,580.0,84.55298951461751
10.0,581.0,86.84799946223015
10.0,591.0,38.270455466215964
10.0,592.0,39.35314277902743
10.0,597.0,44.01925882659972
10.0,598.0,44.85187095331004
10.0,599.0,47.3031230193744
10.0,601.0,46.563813488759365
10.0,602.0,47.30325450184547
10.0,603.0,47.419587657051956
10.0,604.0,48.28183528651496
10.0,605.0,51.88919656505151
10.0,606.0,49.47608634595548
10.0,614.0,57.158779533563724
10.0,618.0,68.01090251565577
10.0,627.0,74.81911376430993
10.0,628.0,74.70280397271834
10.0,645.0,39.54180272658357
10.0,646.0,38.778674487678174
10.0,647.0,40.82343072315359
