Unnamed: 0,md_area,idnum,poi_classes,pop10,block_prop_pop,road_length,num_poi,lon,lat,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE,BLOCKID10.ss,geocode.b,geocode.bg,geocode.t,GEOID10,GEOID,NAME,FIPS,popACS,State,pop2010,area_km2,popPrcCounty,prc.latino.std,dens.cvap.std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,dens.work.std,popDens.std,rate.vbm.std,rate.hisvbm.std,rate.aisvbm.std,rate.yousvbm.std,prc.ElNonReg.std,dens.poll.std,LEP_flag,CarAccess_flag,disab_flag,BelowPoverty_flag,youth_flag,Latino_flag,cvapDens_flag,ElNonReg_flag,BLOCKID10.ind,center_score,droppoff_score,geometry,lks_data,fire_station,library,town_hall,public_building,school,community_centre,arts_centre,college,university,near_node,center_score_cost_adjustment,dropbox_cost_adjustment
32,6.766528403107421e-05,38,,61,3,0.0358981104893514,,-75.8806519980359,40.1705655876327,42,11,11703,1000,420110117031000,420110117031000,420110117031,42011011703,420110117031000,42011011703,Census Tract 117.03 Berks County Pennsylvania,42011,4178,PA,61,9.624953944988233,0.000148259049878233,0.0578293163559194,0.28960133393966997,0.594588449295134,0.12141882673942699,0.206609064726391,0.0,0.22093375776868301,0.9865090192511752,0.24670304683947306,1.0,1.0,1.0,1.0,0.8486433227224499,0.7532211611338492,1,0,0,0,0,1,0,0,420110117031000,0.594239805972412,0.593343890079907,POINT (-75.8806519980359 40.1705655876327),1,0,0,0,0,0,0,0,0,0,6676844605,0.5,0.75
45,6.76723485851881e-05,53,,67,6,0.0127238135759753,,-75.8803303102891,40.1777631944185,42,11,11703,1000,420110117031000,420110117031000,420110117031,42011011703,420110117031000,42011011703,Census Tract 117.03 Berks County Pennsylvania,42011,4178,PA,61,9.624953944988233,0.000148259049878233,0.0578293163559194,0.28960133393966997,0.594588449295134,0.12141882673942699,0.206609064726391,0.0,0.22093375776868301,0.9865090192511752,0.24670304683947306,1.0,1.0,1.0,1.0,0.8486433227224499,0.7532211611338492,1,0,0,0,0,1,0,0,420110117031000,0.594239805972412,0.593343890079907,POINT (-75.8803303102891 40.1777631944185),1,0,0,0,0,0,0,0,0,0,136039588,0.5,0.75
109,6.77013567993505e-05,133,,452,88,0.0291006407985463,,-75.9072279076109,40.207290412184896,42,11,11701,2062,420110117012062,420110117012062,420110117012,42011011701,420110117012062,42011011701,Census Tract 117.01 Berks County Pennsylvania,42011,7395,PA,51,0.655504454545015,0.000123954287603113,0.17727755040169801,0.7107776261937241,0.0172047900560861,0.608003638017281,0.11869031377899,0.21797786872820998,0.3858572078217371,0.7750492648173409,0.360921631044414,0.5065939063210549,1.0,1.0,0.261709868121874,0.21661361224799106,0.9011671972108533,1,0,0,1,0,1,0,0,420110117012062,0.469400864029104,0.486806557093051,POINT (-75.9072279076109 40.2072904121849),1,0,0,0,0,0,0,0,0,0,4635091089,1.0,1.0
117,6.76994108555025e-05,141,"['post_office', 'fire_station']",351,46,0.0177401669365766,2.0,-75.83206920700249,40.2053110263316,42,11,11902,2058,420110119022058,420110119022058,420110119022,42011011902,420110119022058,42011011902,Census Tract 119.02 Berks County Pennsylvania,42011,3594,PA,31,0.590875648458188,7.53447630528726e-05,0.315901167197211,0.310974685463089,0.0795816280127331,0.30529028346218,0.13930574503562196,0.8894952251023192,0.0428224950735183,0.0,0.328710019705927,0.32044868879793803,1.0,1.0,0.404198878278005,0.264514173108989,0.7513263604668791,1,0,0,0,0,1,0,0,420110119022058,0.4123541003486429,0.426201357760021,POINT (-75.83206920700249 40.2053110263316),0,1,0,0,0,0,0,0,0,0,136133180,1.25,1.25
210,6.77315862774792e-05,247,['fire_station'],528,126,0.0469800876739882,1.0,-75.98114494657621,40.2380140691064,42,11,11702,1031,420110117021031,420110117021031,420110117021,42011011702,420110117021031,42011011702,Census Tract 117.02 Berks County Pennsylvania,42011,4637,PA,126,0.6116065123255439,0.000306240004666514,0.0832196452933151,0.46149765044717295,0.552220706381689,0.29520994391390004,0.26254358041534,0.185159921176292,0.0987570107624678,0.8688040018190091,0.43731999393663795,0.145520691223283,1.0,1.0,0.201303622858875,0.11997877823253,0.9371684098832801,1,0,0,0,0,1,0,0,420110117021031,0.41983477338184,0.4332789796227721,POINT (-75.98114494657621 40.2380140691064),1,1,0,0,0,0,0,0,0,0,136409802,1.25,1.25
380,6.775535335002889e-05,428,,2309,1500,0.117182116642345,,-75.8012458014392,40.262136314099,42,11,11800,3019,420110118003019,420110118003019,420110118003,42011011800,420110118003019,42011011800,Census Tract 118 Berks County Pennsylvania,42011,5139,PA,39,0.0107254265406486,9.47885728729687e-05,0.12437471577989999,0.510156131574958,0.582537517053206,0.0898135516143702,0.525011368804002,0.5711687130513871,0.460057601940276,0.0,0.834849173866909,0.5407003183265121,1.0,1.0,0.283537971805366,0.46884947703501595,0.6989540700318331,1,0,0,0,0,1,0,0,420110118003019,0.522493178717599,0.5123698542627599,POINT (-75.80124580143919 40.262136314099),0,0,0,0,0,0,0,0,0,0,136384210,0.75,1.0
431,6.77604321460178e-05,481,"['post_office', 'kindergarten']",1281,544,0.0580401250427161,2.0,-75.72569302823709,40.2672872060069,42,11,11904,2011,420110119042011,420110119042011,420110119042,42011011904,420110119042011,42011011904,Census Tract 119.04 Berks County Pennsylvania,42011,7877,PA,188,0.142012136367544,0.000456929530772259,0.501591632560255,0.757010762467788,0.6321055025011371,0.260345611641655,0.704107927845991,0.33856298317416994,0.848567530695771,0.0,0.613763832044869,0.5344095801121721,1.0,0.18841897832348,0.575261482492042,0.335531302107018,0.98431105047749,1,0,0,0,0,0,0,0,420110119042011,0.5247044110959529,0.5189670088135301,POINT (-75.72569302823709 40.2672872060069),0,0,0,0,0,0,0,0,0,0,136085928,0.75,0.75
450,6.77741588030188e-05,501,['fire_station'],979,501,0.0691717217541422,1.0,-75.9792742064903,40.281202030251606,42,11,11500,1024,420110115001024,420110115001024,420110115001,42011011500,420110115001024,42011011500,Census Tract 115 Berks County Pennsylvania,42011,3019,PA,20,0.0500125637800382,4.86095245502404e-05,0.734727906624223,0.136880400181901,0.671062604214037,0.722449598302259,0.7843716840988331,0.367515537365469,0.747688343186297,0.848415946642413,0.48491738669092,1.0,1.0,1.0,1.0,0.9435349401242992,0.0,1,0,0,1,0,0,0,0,420110115001024,0.748650901925118,0.749271205526322,POINT (-75.9792742064903 40.28120203025161),1,1,0,0,0,0,0,0,0,0,136396811,0.5,0.5
494,6.778149863898028e-05,549,,1876,1021,0.0953403625087362,,-75.98836850613621,40.2886384783296,42,11,11500,3009,420110115003009,420110115003009,420110115003,42011011500,420110115003009,42011011500,Census Tract 115 Berks County Pennsylvania,42011,3019,PA,154,0.14419205066856194,0.000374293339036851,0.734727906624223,0.136880400181901,0.671062604214037,0.722449598302259,0.7843716840988331,0.367515537365469,0.747688343186297,0.8688040018190091,0.580491132332879,1.0,1.0,1.0,1.0,0.9435349401242992,0.0,1,0,0,1,0,0,0,0,420110115003009,0.7621267242686071,0.76305284869746,POINT (-75.98836850613621 40.2886384783296),0,0,0,0,0,0,0,0,0,0,136332028,0.5,0.5
495,6.77812632747895e-05,550,['fire_station'],1479,785,0.0928795636504946,1.0,-75.9789621911217,40.288400059611796,42,11,11500,1003,420110115001003,420110115001003,420110115001,42011011500,420110115001003,42011011500,Census Tract 115 Berks County Pennsylvania,42011,3019,PA,19,0.0181348047696911,4.61790483227284e-05,0.734727906624223,0.136880400181901,0.671062604214037,0.722449598302259,0.7843716840988331,0.367515537365469,0.747688343186297,0.8600879187509469,0.577156283159012,1.0,1.0,1.0,1.0,0.9435349401242992,0.0,1,0,0,1,0,0,0,0,420110115001003,0.7610561618917691,0.7618515450746011,POINT (-75.9789621911217 40.2884000596118),1,1,0,0,0,0,0,0,0,0,136125713,0.5,0.5
540,6.778930784457901e-05,597,,1209,387,0.0976846962734937,,-76.0162796372281,40.2965474145871,42,11,10802,1050,420110108021050,420110108021050,420110108021,42011010802,420110108021050,42011010802,Census Tract 108.02 Berks County Pennsylvania,42011,9189,PA,79,1.07998973445306,0.000192007621973449,0.6691678035470671,0.919433075640443,0.287100197059269,0.575640442625436,0.18197665605578306,0.26625738972260105,0.0603304532363196,0.7750492648173409,0.356601485523723,0.298090040927694,1.0,0.20592693648628196,0.415264514173109,0.241549189025315,0.9899954524783988,0,0,0,1,0,0,0,0,420110108021050,0.44709337577686803,0.46770891530782394,POINT (-76.0162796372281 40.2965474145871),0,0,0,0,0,0,0,0,0,0,136191086,1.25,1.0
557,6.77852426473e-05,614,,2298,1157,0.0793097530549126,,-75.8563613412047,40.292430694809106,42,11,12002,2018,420110120022018,420110120022018,420110120022,42011012002,420110120022018,42011012002,Census Tract 120.02 Berks County Pennsylvania,42011,9201,PA,64,0.0268822023392059,0.000155550478560769,0.481734121570411,0.9653630438077908,0.131726542367743,0.344474761255116,0.19311808397756602,0.150447172957405,0.541534030619979,0.0,0.7517053206002731,0.0981506745490375,0.0879187509474003,0.22298014248901002,0.122555707139609,0.720706381688646,0.740942852811884,1,0,0,0,0,0,0,0,420110120022018,0.328791496134607,0.299692338508846,POINT (-75.8563613412047 40.29243069480911),0,0,0,0,0,0,0,0,0,0,136330415,2.0,2.0
594,6.77952436710103e-05,655,,2686,1920,0.18289898454883105,,-75.9689297757616,40.3025569380279,42,11,11400,5055,420110114005055,420110114005055,420110114005,42011011400,420110114005055,42011011400,Census Tract 114 Berks County Pennsylvania,42011,5300,PA,24,0.0075487204930186295,5.83314294602885e-05,0.637107776261937,0.489540700318327,0.111111111111111,0.164999242079733,0.581931180839776,0.62816431711384,0.49469455813248403,0.8966954676368051,0.812414733969986,0.501061088373503,1.0,0.40328937395785996,0.149992420797332,0.130059117780809,0.6974382294982571,1,0,0,0,0,0,0,0,420110114005055,0.533206381688646,0.550726737261526,POINT (-75.96892977576159 40.3025569380279),1,0,0,0,0,0,0,0,0,0,136217220,0.75,0.75
650,6.7801402779169e-05,714,"['school', 'library']",1489,646,0.0824919649453744,2.0,-75.9309805976131,40.3087905912913,42,11,2900,1156,420110029001156,420110029001156,420110029001,42011002900,420110029001156,42011002900,Census Tract 29 Berks County Pennsylvania,42011,3374,PA,0,0.19840988234211893,0.0,0.8323480369865089,0.254812793694103,0.964529331514325,0.8450053054418671,0.792178262846749,0.597544338335607,0.692056995604063,0.0,0.0,0.526299833257541,1.0,0.543807791420343,1.0,0.661058056692436,0.9468697892981659,0,0,0,0,0,0,0,0,420110029001156,0.612147567075944,0.608453301284134,POINT (-75.9309805976131 40.3087905912913),1,0,1,0,0,1,0,0,0,0,136057600,0.5,0.5
704,6.7808756523434e-05,769,"['school', 'fire_station']",2088,1175,0.123739248985615,2.0,-75.940073343004,40.3162307735897,42,11,2600,1040,420110026001040,420110026001040,420110026001,42011002600,420110026001040,42011002600,Census Tract 26 Berks County Pennsylvania,42011,3134,PA,22,0.175903960159571,5.34704770052644e-05,0.93966954676368,0.0995907230559345,0.896543883583447,0.8838866151280891,0.9957556465059879,0.9757465514627859,0.9477792936183108,0.997044110959527,0.399954524783993,0.526299833257541,1.0,0.543807791420343,1.0,0.613763832044869,0.9387600424435352,0,0,0,0,0,0,0,0,420110026001040,0.789180688191602,0.8047147512938779,POINT (-75.940073343004 40.3162307735897),1,1,0,0,0,1,0,0,0,0,136257104,0.5,0.5
705,6.780851705774971e-05,770,"['school', 'school', 'fire_station']",2375,1164,0.15436290617621098,3.0,-75.93066347029429,40.315988537291496,42,11,2900,1012,420110029001012,420110029001012,420110029001,42011002900,420110029001012,42011002900,Census Tract 29 Berks County Pennsylvania,42011,3374,PA,3,0.11564941636189399,7.29142868253606e-06,0.8323480369865089,0.254812793694103,0.964529331514325,0.8450053054418671,0.792178262846749,0.597544338335607,0.692056995604063,0.9878732757313928,0.284978020312263,0.7061543125663181,1.0,0.529179930271335,0.691905411550705,0.661058056692436,0.9605123541003492,0,0,0,0,0,0,0,0,420110029001012,0.7211857662573901,0.7276952186058601,POINT (-75.93066347029429 40.3159885372915),1,1,0,0,0,1,0,0,0,0,136283147,0.5,0.5
